source_col,input_cols,target_col
July (°C),"Mexico<|>Mañana es para siempre<|>El Canal de las Estrellas<|>October 20, 2008<|>June 14, 2009<|>Monday to Friday","June 14, 2009"
Start Time,Series<|>Start<|>Finish<|>Winner<|>Runner-up<|>Third place<|>Winning mentor<|>Main host,Start
Last season,Season<|>Class<|>Team<|>Motorcycle<|>Type<|>Races<|>Wins<|>Podiums<|>Poles<|>Fastest Laps<|>Pts<|>Position,Season
UK ratings (BBC Four),Episode<|>Title<|>Writer<|>Director<|>Original airdate<|>Ratings (Kanto)<|>Ratings (Kansai),Ratings (Kanto)
Season episode,Episode<|>Title<|>Writer<|>Director<|>Original airdate<|>Ratings (Kanto)<|>Ratings (Kansai),Episode
High school,School<|>Location(s)<|>Control<|>Type School types are based on the Carnegie Classification of Institutions of Higher Education .<|>Enrollment (Fall 2010)<|>Founded<|>Accreditation,School
Start Time,Res.<|>Record<|>Opponent<|>Round<|>Time<|>Location,Time
Original U.S. air date,Episode #<|>US air date<|>Rating<|>Share<|>Rating/Share (18–49)<|>Viewers (millions),US air date
Time to ft (m) at 25° (seconds),Date<|>Time (ET)<|>Event #<|>Event<|>Winner<|>Prize<|>Entries<|>Prize Pool<|>Elapsed Time,Time (ET)
Year ended,Version<|>Year<|>Bore x stroke<|>Displacement<|>Power,Year
"Area (1930) in 1,000skm 2",Municipality<|>Income Class<|>District<|>Population (2010)<|>Area (km²),Area (km²)
Population (2000 census),Municipality<|>Income Class<|>District<|>Population (2010)<|>Area (km²),Population (2010)
☵ 坎 Kǎn Water,CDP name<|>County<|>Pop. (2010)<|>Land ( sq mi )<|>Water (sq mi)<|>Coordinates<|>FIPS code<|>ANSI code,Water (sq mi)
☵ 坎 Kǎn Water,Model<|>Min. capacity (mAh)<|>Typ. capacity (mAh)<|>Capacity after first day<|>After 1 year<|>After 2 years<|>After 3 years<|>After 5 years,Min. capacity (mAh)
Last season,Season<|>Competition<|>Round<|>Club<|>Home<|>Away<|>Aggregate,Season
Last season,Season<|>Winner<|>Captain<|>Coach<|>League finish<|>Mat<|>W<|>L<|>Win %<|>Runner-up,Season
Last season,#<|>Season<|>Bowl game<|>Result<|>Opponent<|>Stadium<|>Location<|>Attendance,Season
Height (m ft),No<|>Player<|>Height (m)<|>Height (f)<|>Position<|>Year born<|>Current Club,Height (m)
Year ended,Year<|>Title<|>Role<|>Cast<|>Live / Studio<|>Label,Year
Density (inhabitants km 2 ),IN No.<|>County Name<|>County Seat<|>Time Zone<|>Population (2010) (Rank)<|>Area sq mi (km 2 ) (Rank)<|>Twps<|>ZIP code Prefix(es)<|>% of Boundary by water,Area sq mi (km 2 ) (Rank)
Population (Bundaberg),IN No.<|>County Name<|>County Seat<|>Time Zone<|>Population (2010) (Rank)<|>Area sq mi (km 2 ) (Rank)<|>Twps<|>ZIP code Prefix(es)<|>% of Boundary by water,Population (2010) (Rank)
Name (English),Institution<|>Location (Population)<|>Founded<|>Type<|>Enrollment<|>Nickname (Colors)<|>Football?,Nickname (Colors)
Last season,Season<|>Competition<|>Round<|>Opponent<|>Home<|>Away<|>Agg.,Season
Year ended,Year<|>Western champion<|>Result<|>Eastern champion<|>Finals MVP,Year
Open Cup,Season<|>MLS Reg. Season<|>MLS Cup Playoffs<|>U.S. Open Cup<|>CONCACAF Champions Cup / Champions League,U.S. Open Cup
Last season,Season<|>MLS Reg. Season<|>MLS Cup Playoffs<|>U.S. Open Cup<|>CONCACAF Champions Cup / Champions League,Season
Home city town,Team<|>Home city<|>Stadium<|>Capacity<|>2011-12 season,Home city
Home city town,Team<|>Home city<|>Stadium<|>Capacity<|>2011–12 season,Home city
% Win,Played<|>Lost<|>Drawn<|>Tries<|>Points<|>% Won,% Won
High school,School<|>Location<|>Founded<|>Affiliation<|>Mascot<|>Division,School
Final score,Date<|>Tournament<|>Surface<|>Opponent in final<|>Score in final,Score in final
Opponent in the Final,Date<|>Tournament<|>Surface<|>Opponent in final<|>Score in final,Opponent in final
sequence length (aa),Order Year<|>Manufacturer<|>Model<|>Fleet (Qty.)<|>Propulsion<|>Length (ft.),Length (ft.)
2009,Rank<|>City<|>Province<|>Date of Official Foundation of Municipality<|>2006<|>1996<|>1986<|>1976<|>1966<|>1956,2006
1991,Rank<|>City<|>Province<|>Date of Official Foundation of Municipality<|>2006<|>1996<|>1986<|>1976<|>1966<|>1956,1986
2009,Rank<|>City<|>Province<|>Date of Official Foundation of Municipality<|>2006,2006
Year ended,Year<|>Ship<|>Departed From<|>Departed On<|>Returned On,Year
Change (SW Eng),Name<|>Term<|>Games<|>Record (W–L–T / OTL)<|>Points<|>Win percentage,Record (W–L–T / OTL)
High school,School<|>Bask<|>Golf<|>Soccer<|>Soft<|>Swimming<|>Tennis<|>Indoor track<|>Outdoor track<|>Volleyball<|>Total,School
Time (greatest),Position<|>Sail Number<|>Yacht<|>State/Country<|>Yacht Type<|>LOA (Metres)<|>Skipper<|>Elapsed Time d:hh:mm:ss,Elapsed Time d:hh:mm:ss
High school,School<|>Bask<|>Golf<|>Soccer<|>Soft<|>Swimming<|>Tennis<|>Indoor track<|>Volleyball,School
High school,School<|>Base<|>Bask<|>Golf<|>Soccer<|>Swimming<|>Tennis<|>Indoor track,School
Original Canadian air date,Series No.<|>Episode No.<|>Title<|>Directed by<|>Written by<|>UK Ratings (BBC2 Rank)<|>Original air date,Original air date
Max. speed,Application<|>Expected Speed Up†<|>GPU‡<|>Multi-GPU Support<|>Release Status,Expected Speed Up†
Date (Opening),Vol.<|>English title<|>Japanese title<|>Release date (Japan)<|>Sony Catalog No.,Release date (Japan)
Season episode,Episode<|>Theme<|>Song choice<|>Original recording artist<|>Order #<|>Result,Episode
Year ended,Year<|>Venue<|>Winner<|>Runner-Up<|>Third,Year
Fourth quarter,Quarter<|>Android<|>iOS<|>Symbian<|>BlackBerry OS<|>Linux<|>Windows Phone<|>Other<|>Total,Quarter
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>US viewers (millions),Original air date
Episode number Production number,Part Number<|>Pins<|>Body Width/mm<|>Body Length/mm<|>Lead Pitch/mm,Part Number
Last season,Season<|>Points<|>Finish<|>Playoffs<|>Head Coach,Season
Blocks per game,Team<|>Points per game<|>Rebounds per game<|>Assists per game<|>Steals per game<|>Minutes per game<|>Ranking per game,Points per game
High school,School<|>Location(s)<|>Control<|>Type<|>Enrollment (2009)<|>Founded,School
Days with rain (year summer),Candidate<|>Office running for<|>Running with (in team)<|>Won or lost<|>Votes given,Running with (in team)
Original Canadian air date,№<|>#<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>U.S. viewers (million),Original air date
Year ended,Year<|>Song<|>Work done<|>Artist(s)<|>Album,Year
Year ended,Location<|>Year<|>Champion<|>Runner-up<|>Score,Year
Nature of incident,Year<|>Title of Drama<|>Name of Role<|>Nature of Role<|>Co-Artists<|>Location,Nature of Role
Name of ground,Year<|>Title of Drama<|>Name of Role<|>Nature of Role<|>Co-Artists<|>Location,Name of Role
Year ended,Year<|>Title of Drama<|>Name of Role<|>Nature of Role<|>Co-Artists<|>Location,Year
Nature of incident,Year<|>Title of Movie<|>Name of Role<|>Nature of Role<|>Co-Artists<|>Location,Nature of Role
Name of ground,Year<|>Title of Movie<|>Name of Role<|>Nature of Role<|>Co-Artists<|>Location,Name of Role
Year ended,Year<|>Title of Movie<|>Name of Role<|>Nature of Role<|>Co-Artists<|>Location,Year
1991,Tournament<|>1998<|>1999<|>2000<|>2001<|>2002<|>2003<|>2004<|>2005<|>2006<|>2007<|>2008<|>2009<|>Career W-L,1998
Completed?,Name (pinyin)<|>Name (Wade Giles)<|>Characters<|>Type<|>Construction,Name (Wade Giles)
Year ended,Rank<|>Name<|>Street Address<|>Height feet / m<|>Floors<|>Year,Year
Year ended,Outcome<|>Year<|>Championship<|>Surface<|>Opponent<|>Score,Year
Ceased to be Duchess,Name<|>Heir of<|>Birth<|>Ceased to be Duke of Girona<|>Death,Ceased to be Duke of Girona
Votes (SW Eng),Season<|>Timeslot<|>Season premiere<|>Season finale<|>TV season<|>Rank<|>U.S. viewers (in millions)<|>Rating (adults 18–49),Rating (adults 18–49)
Last season,Season<|>Timeslot<|>Season premiere<|>Season finale<|>TV season<|>Rank<|>U.S. viewers (in millions)<|>Rating (adults 18–49),Season
Completed?,Season<|>Network<|>Time slot<|>Season premiere<|>Season finale<|>Episode count<|>TV season<|>Season rank<|>Viewers (in millions),Viewers (in millions)
Final Episode Count,Season<|>Network<|>Time slot<|>Season premiere<|>Season finale<|>Episode count<|>TV season<|>Season rank<|>Viewers (in millions),Episode count
Last season,Season<|>Network<|>Time slot<|>Season premiere<|>Season finale<|>Episode count<|>TV season<|>Season rank<|>Viewers (in millions),Season
Weeks in top 12,Entered [A ]<|>Weeks in top 10<|>Single<|>Artist<|>Peak<|>Peak reached [A ]<|>Weeks at peak,Weeks in top 10
Year [A ],Entered [A ]<|>Weeks in top 10<|>Single<|>Artist<|>Peak<|>Peak reached [A ]<|>Weeks at peak,Entered [A ]
Last season,Season<|>Club<|>Country<|>Championship<|>National Cup<|>International Cup,Season
Final score,Date<|>Tournament<|>Surface<|>Partner<|>Opponent in Final<|>Score in Final,Score in Final
Opponent in the Final,Date<|>Tournament<|>Surface<|>Partner<|>Opponent in Final<|>Score in Final,Opponent in Final
Total Apps (Sub),Squad No.<|>Name<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>FLT Apps<|>FLT Goals<|>Total Apps<|>Total Goals,Total Apps
Cup Apps,Squad No.<|>Name<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>FLT Apps<|>FLT Goals<|>Total Apps<|>Total Goals,FA Cup Apps
R 55 +,D 40 √<|>D 41 √<|>D 42 √<|>D 43 √<|>D 44 √<|>D 45 O<|>D 46 O<|>R 53 +<|>R 52 +<|>R 51 +,R 53 +
Last season,Season<|>Grand FinalDate<|>WinningTeam<|>Score<|>LosingTeam<|>Location<|>GF Attendance<|>Clive Churchill Medal,Season
Date of Commissioning,Congresswoman<|>State<|>Date of delivery<|>Mother's age<|>Baby gender,Date of delivery
High school,Statistic<|>Name<|>Total<|>School<|>Opponent<|>Stage,School
Season episode,Episode<|>Contest<|>Original airdate<|>Challengers (Female)<|>Challengers (Male)<|>Events,Episode
Year ended,Year<|>Division<|>League<|>Regular Season<|>Playoffs,Year
Year of Issue,Cellist<|>Orchestra<|>Conductor<|>Record Company<|>Year of Recording<|>Format,Year of Recording
Year ended,Rank<|>Town<|>Population<|>Year<|>Borough<|>Definition,Year
Year ended,Year<|>Tournament<|>Surface<|>Round<|>Winner<|>Score<|>Length<|>Ivanovic<|>Jankovic,Year
Last season,Season<|>Duration<|>Gagarin Cup Winner<|>Gagarin Cup finalist<|>Continental Cup Winner<|>Top scorer,Season
Year ended,Year<|>Track<|>50 cc<|>125 cc<|>Report,Year
"Median household income 1,000,000",Age band<|>Median income<|>Mean income<|>Median income (men)<|>Mean income (men)<|>Median income (women)<|>Mean income (women),Median income
Typ. capacity (mAh),Wind farm<|>Capacity (MW)<|>Country<|>State/Province<|>Notes,Capacity (MW)
Original Canadian air date,No.<|>#<|>Title<|>Directed by<|>Written by<|>Patient Portrayer<|>Original air date<|>Production code,Original air date
Original Canadian air date,No. in set<|>No. in series<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code,Original air date
Year ended,Year<|>Tournaments<|>Titles<|>Hardcourt W–L<|>Clay W–L<|>Grass W–L<|>Carpet W–L<|>Overall W–L<|>Win %<|>Year End Ranking,Year
Last season,Team<|>City<|>Inaugural season<|>Final season<|>Captain<|>Coach,Final season
Part 5,Class<|>Part 1<|>Part 2<|>Part 3<|>Part 4<|>Verb meaning,Part 4
Year of Issue,Pianist<|>Conductor<|>Record Company<|>Year of Recording<|>Format,Year of Recording
Year ended,Year<|>League<|>Wins<|>Losses<|>Draws<|>Points,Year
Original Canadian air date,#<|>Title<|>Director<|>Writer(s)<|>Original air date<|>Production Code<|>U.S. viewers (millions),Original air date
Number of Candidates,Election<|>Candidate<|>Number of votes<|>Share of votes<|>Outcome of election,Number of votes
Votes (SW Eng),Episode<|>First broadcast<|>Graemes guest<|>Jeremys guest<|>Votes (%),Votes (%)
Season episode,Episode<|>First broadcast<|>Graemes guest<|>Jeremys guest<|>Votes (%),Episode
Last season,Season<|>Belonging league<|>Matches<|>league point<|>Draw<|>Lose<|>Goal difference<|>Point<|>Lost point<|>Final rank,Season
ZIP code Prefix(es),Episode #<|>Production Count<|>Original Airdate<|>Prod. Code<|>Title<|>Viewing Figures Millions,Prod. Code
Original Canadian air date,Series #<|>Title<|>Directed by<|>Written by<|>Original air date,Original air date
Last season,Season<|>Team<|>Country<|>Division<|>Apps<|>Goals,Season
Number of episode,Rank<|>Show<|>Number of Viewers<|>Date<|>Network,Number of Viewers
Time to ft (m) at 25° (seconds),Sport<|>Record<|>Nation - athlete(s)<|>Date<|>Time (seconds),Time (seconds)
Date of designation,Team<|>Outgoing manager<|>Manner of departure<|>Date of vacancy<|>Incoming manager<|>Date of appointment,Date of appointment
School Club Team,Round<|>Pick<|>Player<|>Position<|>Nationality<|>Club Team,Club Team
Rushing yards,Player<|>Att.<|>Comp<|>Yards<|>Rating,Yards
Rushing yards,Player<|>Att.<|>Yards<|>Avg.<|>Fumbles,Yards
On air date,Nº<|>Ep<|>Huckleberry Hound<|>Pixie and Dixie<|>Hokey Wolf<|>Air date<|>Credited Animators,Air date
On air date,Nº<|>Ep<|>Huckleberry Hound<|>Pixie and Dixie<|>Yogi Bear<|>Air date<|>Credited animators,Air date
GAMES,Pos<|>Club<|>Games played<|>Red/Yellow cards<|>Positive play<|>Respect toward opponents<|>Respect toward referee<|>Behaviour of team officials<|>Points<|>Score<|>Average,Games played
Change (SW Eng),Date<|>Opponents<|>Result F–A<|>Attendance<|>Group position,Result F–A
Change (SW Eng),Date<|>Opponents<|>Result F–A<|>Scorers<|>Attendance<|>Group position,Result F–A
Position in 2013,Team<|>Location<|>Venue<|>Capacity<|>Position in 2006,Position in 2006
Height (m ft),Province<|>Contestant<|>Age<|>Height (in)<|>Height (mt)<|>Hometown,Height (in)
Year ended,Year<|>Record [a ]<|>Win %<|>League [b ]<|>Division [c ]<|>GB [d ]<|>Post-season record [e ]<|>Post-season win %<|>MLB affiliate [f ],Year
Year [A ],Year<|>Record [a ]<|>Win %<|>League [b ]<|>Division [c ]<|>GB [d ]<|>Post-season record [e ]<|>Post-season win %<|>MLB affiliate [f ],Record [a ]
"Area (1930) in 1,000skm 2",Number in map<|>Prefecture<|>Area (km²)<|>Population (2001)<|>Pop. density (/km²),Area (km²)
Population (2000 census),Number in map<|>Prefecture<|>Area (km²)<|>Population (2001)<|>Pop. density (/km²),Population (2001)
Year ended,Year<|>Edition<|>Course<|>Location<|>Dates,Year
Last season,Season<|>Premiere<|>Finale<|>Episodes<|>Timeslot<|>Rank<|>Viewers (in households),Season
Completed?,Season<|>Premiere<|>Finale<|>Episodes<|>Timeslot<|>Rank<|>Viewers (in households),Viewers (in households)
Year ended,Year<|>LPGA wins<|>Earnings ($)<|>Money list rank<|>Average,Year
Year of Issue,Week of<|>Tournament<|>Winner<|>Runner-up<|>Semi-finalists,Week of
Song 2 title,Song title<|>Artist<|>Language<|>Decade<|>Genre<|>Exportable<|>Family Friendly,Song title
Last season,Season<|>League<|>Rank<|>Games<|>Points<|>Manager<|>Top Scorer<|>Goals,Season
Year ended,Year<|>Pick<|>Player<|>Position<|>College,Year
Date (Opening),Regiment<|>Company<|>Company Commander<|>Date of Election/Commission<|>County,Date of Election/Commission
Release date,Date Released<|>Polling institute<|>Socialist<|>Social Democratic<|>Green-Communist<|>People's Party<|>Left Bloc<|>Lead,Date Released
Year ended,Year<|>Title<|>Format<|>Studio<|>Release Date<|>Copyright Information<|>Catalog Number,Year
Year ended,Rank<|>Year<|>Title<|>Artist<|>Sales,Year
Original Canadian air date,Series #<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code,Original air date
Last season,Selection<|>Month<|>Season<|>Team record<|>Points per game<|>Field goal percentage<|>Rebounds per game<|>Blocks per game,Season
Assists Per Game,Selection<|>Month<|>Season<|>Team record<|>Points per game<|>Field goal percentage<|>Rebounds per game<|>Blocks per game,Rebounds per game
Last season,Season<|>Series<|>Races<|>Poles<|>Wins<|>Points<|>Final Placing,Season
Seats (dissol.),Leader<|>Party<|>Leader's Seat<|>Number of Seats<|>Leader since,Leader's Seat
Start Time,Period<|>Team<|>Goal<|>Time<|>Score,Time
Start Time,Period<|>Team<|>Player<|>Penalty<|>Time,Time
Last season,Season<|>Winner<|>Team<|>Position<|>Win #,Season
Change (SW Eng),Countries and Territories<|>Conditions of access<|>Length of stay permitted<|>Fee (if applicable)<|>Access using a Croatian identity card,Fee (if applicable)
Opp. Points,Name<|>Nation<|>Seasons<|>Championship titles<|>Races (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points (Dropped points),Points (Dropped points)
Swedish championship titles,Name<|>Nation<|>Seasons<|>Championship titles<|>Races (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points (Dropped points),Championship titles
Women's race,Name<|>Nation<|>Seasons<|>Championship titles<|>Races (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points (Dropped points),Races (Starts)
Year ended,Year<|>Fighter<|>Nation represented<|>Sport<|>Sanctioning body or league<|>Weight class represented or contested,Year
Year ended,Album title<|>Format<|>Year<|>Original label<|>Chart positions,Year
Year ended,Year<|>Winner<|>Finalist<|>Result<|>Date<|>Venue<|>Attendance,Year
Year ended,Year<|>Champion<|>Runner-Up<|>Result<|>Date<|>Venue<|>Attendance,Year
Year ended,Title<|>Year<|>Studio<|>Role<|>Director<|>Other cast members,Year
Year ended,Rank<|>Player<|>From<|>Transfer fee ( € million)<|>Year,Year
Original Canadian air date,Series #<|>Season #<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>U.S. viewers (millions),Original air date
Last season,Season<|>Winner<|>Runner-up<|>Third<|>Winner Men<|>Winner Women,Season
Winning team,Rank<|>Quarterback<|>Seasons<|>Teams<|>Team Wins<|>Team Losses<|>Career Wins<|>Career Losses<|>Ties,Team Wins
Year ended,Year<|>Total Region<|>Rockhampton<|>Livingstone<|>Fitzroy<|>Mt Morgan,Year
Year ended,Year<|>Title<|>US Country<|>RIAA<|>Label,Year
Original Canadian air date,Series #<|>Season #<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>U.S viewers (million),Original air date
Time to ft (m) at 25° (seconds),Sport<|>Record<|>Nation<|>Date<|>Time (sec.),Time (sec.)
Leader's Team,Round<|>Player<|>Nationality<|>NHL team<|>College/Junior/Club team (League),College/Junior/Club team (League)
Number of cars,City<|>Operator<|>Type designation<|>Number of vehicles<|>Width,Number of vehicles
Mass (M ☉ ),"Group<|>Half-Life (s)<|>Decay Constant (s −1 )<|>Yield, Neutrons per Fission<|>Fraction",Decay Constant (s −1 )
"$50,000 to $60,000",DSL Type<|>Provider<|>Resale<|>Down (up to kbit/s)<|>Up (up to kbit/s),Up (up to kbit/s)
Down (up to kbit s),DSL Type<|>Provider<|>Resale<|>Down (up to kbit/s)<|>Up (up to kbit/s),Down (up to kbit/s)
Year of Issue,Week of<|>Tier<|>Winner<|>Runner-up<|>Semi finalists,Week of
Year ended,Year<|>Type<|>Label<|>Catalog #<|>Country,Year
Year ended,Edition<|>Year<|>Winner<|>Runner-up<|>Third,Year
"$50,000 to $60,000",Girl group<|>Country<|>Sold (albums and singles)<|>Genre<|>Studio albums<|>Members<|>Years active,Sold (albums and singles)
Completed?,Engine<|>Production<|>Transmission<|>Power<|>Torque<|>Acceleration 0–100km/h (0–62mph)<|>Top Speed,Acceleration 0–100km/h (0–62mph)
Last season,Season<|>League<|>Teams<|>Home<|>Away,Season
Last season,Season<|>Series<|>Team<|>Races<|>Wins<|>Podiums<|>Points<|>Position,Season
